1.550	1.754
1.563	1.814
1.572	1.833
1.585	1.846
1.595	1.879
1.597	1.879
1.611	1.893
1.615	1.905
1.623	1.911
1.645	1.913
1.650	1.921
1.660	1.928
1.675	1.941
1.683	1.933
1.692	1.945
1.706	1.945
1.715	1.945
1.721	1.942
1.727	1.948
1.737	1.949
1.756	1.943
1.752	1.951
1.770	1.945
1.770	1.947
1.795	1.948
1.804	1.939
1.810	1.939
1.820	1.939
1.818	1.924
1.843	1.934
1.839	1.935
1.848	1.922
1.870	1.908
1.875	1.904
1.892	1.888
1.903	1.892
1.914	1.875
1.917	1.859
1.932	1.833
1.941	1.814
1.954	1.747
1.553	1.748
1.564	1.685
1.569	1.658
1.579	1.640
1.595	1.629
1.589	1.609
1.607	1.610
1.614	1.597
1.628	1.593
1.643	1.584
1.654	1.579
1.655	1.564
1.668	1.562
1.681	1.560
1.689	1.560
1.702	1.562
1.712	1.553
1.715	1.559
1.729	1.553
1.729	1.556
1.756	1.551
1.757	1.547
1.764	1.544
1.779	1.553
1.783	1.558
1.800	1.555
1.807	1.557
1.831	1.561
1.836	1.561
1.828	1.569
1.852	1.576
1.853	1.583
1.869	1.590
1.881	1.601
1.894	1.608
1.899	1.627
1.918	1.632
1.918	1.654
1.932	1.659
1.943	1.690
1.950	1.749
